"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SC","correct_Target_response_Prac","correct_Welcome_PP_SC","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HEB","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SLK","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HEB","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SLK","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","heb","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HEB","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SLK","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HEB","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SLK","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HEB","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SLK","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HEB","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SLK","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","slk","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HEB","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SLK","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HEB","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SLK","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","9497","F","F","PP_LIST1.csv","nut.jpg","watch.jpg","88.8888888889","88.8888888889","888.5","888.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","10","0","10","6","0","0","10","10","0","0","10","10","10","10","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","10","10","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","898","NA","NA","898","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","53982","30258","16781","32322","54487","53980","8926","33673","54488","55389","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","55889","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","16","15993","18","no","yes","1024"
"F","9497","F","F","PP_LIST1.csv","skirt.jpg","tlphon.jpg","89.4736842105","89.4736842105","888","888","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","11","0","11","6","0","0","11","11","0","0","11","11","11","11","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","11","11","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","879","NA","NA","879","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","56091","30258","16781","32322","56596","56088","8926","33673","56597","57478","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","57978","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","17","16872","19","no","yes","1024"
"N","9497","H","V","PP_LIST1.csv","nailH.jpg","nailV.jpg","90","90","878.4","878.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","12","0","12","6","0","0","12","12","0","0","12","12","12","12","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","12","12","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","696","NA","NA","696","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","58170","30258","16781","32322","58675","58168","8926","33673","58676","59375","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","59875","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","18","17568","20","no","yes","1024"
"N","9497","H","V","PP_LIST1.csv","keyH.jpg","keyV.jpg","90.4761904762","90.4761904762","872","872","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","13","0","13","6","0","0","13","13","0","0","13","13","13","13","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","13","13","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","744","NA","NA","744","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","60084","30258","16781","32322","60587","60082","8926","33673","60587","61334","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","61834","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","19","18312","21","no","yes","1024"
"N","9497","H","V","PP_LIST1.csv","pencilH.jpg","pencilV.jpg","90.9090909091","90.9090909091","859.590909091","859.590909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","14","0","14","6","0","0","14","14","0","0","14","14","14","14","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","14","14","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","599","NA","NA","599","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","62033","30258","16781","32322","62538","62031","8926","33673","62539","63140","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","63640","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","20","18911","22","no","yes","1024"
"F","9497","F","F","PP_LIST1.csv","wrench.jpg","piano.jpg","91.3043478261","91.3043478261","843.043478261","843.043478261","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","15","0","15","6","0","0","15","15","0","0","15","15","15","15","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","15","15","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","479","NA","NA","479","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","63868","30258","16781","32322","64373","63865","8926","33673","64374","64856","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","65356","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","21","19390","23","no","yes","1024"
"Y","9497","H","H","PP_LIST1.csv","batH.jpg","batH.jpg","91.6666666667","91.6666666667","836.083333333","836.083333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","16","0","16","6","0","0","16","16","0","0","16","16","16","16","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","16","16","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","676","NA","NA","676","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","65562","30258","16781","32322","66067","65560","8926","33673","66067","66746","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","67246","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","22","20066","24","no","yes","1024"
"N","9497","V","H","PP_LIST1.csv","plateV.jpg","plateH.jpg","92","92","827.84","827.84","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","17","0","17","6","0","0","17","17","0","0","17","17","17","17","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","17","17","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","630","NA","NA","630","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","67482","30258","16781","32322","67987","67479","8926","33673","67987","68621","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","69121","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","23","20696","25","no","yes","1024"
"F","9497","F","F","PP_LIST1.csv","tlphon.jpg","knife.jpg","92.3076923077","92.3076923077","818.576923077","818.576923077","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","18","0","18","6","0","0","18","18","0","0","18","18","18","18","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","18","18","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","587","NA","NA","587","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","69346","30258","16781","32322","69848","69344","8926","33673","69849","70439","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","70939","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","24","21283","26","no","yes","1024"
"F","9497","F","F","PP_LIST1.csv","ftball.jpg","nut.jpg","92.5925925926","92.5925925926","821.518518519","821.518518519","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","19","0","19","6","0","0","19","19","0","0","19","19","19","19","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","19","19","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","898","NA","NA","898","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","71126","30258","16781","32322","71631","71123","8926","33673","71631","72532","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","73032","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","25","22181","27","no","yes","1024"
"Y","9497","V","V","PP_LIST1.csv","clothespinV.jpg","clothespinV.jpg","92.8571428571","92.8571428571","814.571428571","814.571428571","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","20","0","20","6","0","0","20","20","0","0","20","20","20","20","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","20","20","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","627","NA","NA","627","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","73175","30258","16781","32322","73680","73172","8926","33673","73681","74311","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","74812","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","26","22808","28","no","yes","1024"
"F","9497","F","F","PP_LIST1.csv","house.jpg","ring.jpg","93.1034482759","93.1034482759","808.379310345","808.379310345","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","21","0","21","6","0","0","21","21","0","0","21","21","21","21","0","6","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/23/19 17:26:41","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\Administrator\Desktop\Qing-Lan\activities\PSA\002\data","no","mono","no","18","no","#0000ff","no","简体中文","yes","no","768","no","no","legacy","21","21","2","5","C:/Users/Administrator/Desktop/Qing-Lan/activities/PSA/002/data/raw data/CHN_005_PP_036.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","635","NA","NA","635","NA","NA","NA","NA","NA","NA","NA","NA","NA","1334","NA","NA","NA","NA","NA","982","NA","NA","NA","NA","NA","NA","NA","NA","NA","7837","NA","NA","NA","NA","NA","2","legacy","yes","no","1024","2","48000","-16","no","EXP","36","even","no","no","NA","8926","3525","3529","7600","8909","8909","NA","NA","33673","75031","30258","16781","32322","75536","75029","8926","33673","75537","76175","NA","43267","16781","32245","20454","30256","20454","20454","16781","NA","NA","NA","NA","NA","NA","NA","NA","NA","32324","NA","NA","NA","NA","NA","30760","30760","31745","19899","19394","76675","NA","NA","NA","NA","NA","NA","NA","NA","NA","8929","NA","NA","NA","NA","NA","Orientation_PSA2018","27","23443","29","no","yes","1024"
